GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
8600000US02116,ZCTA5 02116,23215,952
8600000US02118,ZCTA5 02118,27325,943
8600000US02119,ZCTA5 02119,28152,1403
8600000US02120,ZCTA5 02120,15719,1086
8600000US02121,ZCTA5 02121,28479,1364
8600000US02122,ZCTA5 02122,24643,1177
8600000US02124,ZCTA5 02124,55074,1770
8600000US02125,ZCTA5 02125,35254,1293
8600000US02126,ZCTA5 02126,29141,1506
8600000US02127,ZCTA5 02127,37257,1083
8600000US02128,ZCTA5 02128,46655,1282
8600000US02129,ZCTA5 02129,18901,715
8600000US02130,ZCTA5 02130,39435,1148
8600000US02131,ZCTA5 02131,32819,1037
8600000US02132,ZCTA5 02132,28505,1117
8600000US02134,ZCTA5 02134,18057,1088
8600000US02135,ZCTA5 02135,42644,1377
8600000US02136,ZCTA5 02136,33084,1340
8600000US02138,ZCTA5 02138,37668,932
8600000US02139,ZCTA5 02139,36979,912
8600000US02140,ZCTA5 02140,19737,724
8600000US02141,ZCTA5 02141,13664,679
8600000US02142,ZCTA5 02142,2929,398
8600000US02143,ZCTA5 02143,26773,1040
8600000US02144,ZCTA5 02144,24682,905
8600000US02145,ZCTA5 02145,26430,793
8600000US02148,ZCTA5 02148,61375,193
8600000US02149,ZCTA5 02149,44993,167
8600000US02150,ZCTA5 02150,39263,38
8600000US02151,ZCTA5 02151,53873,66
8600000US02152,ZCTA5 02152,18391,42
8600000US02155,ZCTA5 02155,59779,253
8600000US02163,ZCTA5 02163,2569,421
8600000US02169,ZCTA5 02169,56541,880
8600000US02170,ZCTA5 02170,19434,949
8600000US02171,ZCTA5 02171,17849,761
8600000US02176,ZCTA5 02176,28132,26
8600000US02180,ZCTA5 02180,21967,38
8600000US02184,ZCTA5 02184,37082,29
8600000US02186,ZCTA5 02186,27527,47
8600000US02188,ZCTA5 02188,15301,732
8600000US02189,ZCTA5 02189,15146,726
8600000US02190,ZCTA5 02190,17415,745
8600000US02191,ZCTA5 02191,8028,417
8600000US02199,ZCTA5 02199,1177,247
8600000US02203,ZCTA5 02203,27,31
8600000US02210,ZCTA5 02210,2609,295
8600000US02215,ZCTA5 02215,25023,1023
8600000US02301,ZCTA5 02301,61320,909
8600000US02302,ZCTA5 02302,33841,911
8600000US02322,ZCTA5 02322,4468,20
8600000US02324,ZCTA5 02324,27434,33
8600000US02330,ZCTA5 02330,11617,22
8600000US02332,ZCTA5 02332,15572,28
8600000US02333,ZCTA5 02333,14301,24
8600000US02338,ZCTA5 02338,7739,48
8600000US02339,ZCTA5 02339,14328,39
8600000US02341,ZCTA5 02341,10560,20
8600000US02343,ZCTA5 02343,10753,385
8600000US02346,ZCTA5 02346,24166,73
8600000US02347,ZCTA5 02347,11292,69
8600000US02351,ZCTA5 02351,16275,22
8600000US02356,ZCTA5 02356,12885,441
8600000US02357,ZCTA5 02357,1178,249
8600000US02359,ZCTA5 02359,18230,22
8600000US02360,ZCTA5 02360,58500,76
8600000US02364,ZCTA5 02364,13210,27
8600000US02366,ZCTA5 02366,195,68
8600000US02367,ZCTA5 02367,2912,21
8600000US02368,ZCTA5 02368,33980,383
8600000US02370,ZCTA5 02370,17849,20
8600000US02375,ZCTA5 02375,9938,419
8600000US02379,ZCTA5 02379,7117,19
8600000US02382,ZCTA5 02382,14864,25
8600000US02420,ZCTA5 02420,14579,537
8600000US02421,ZCTA5 02421,18760,530
8600000US02445,ZCTA5 02445,20774,732
8600000US02446,ZCTA5 02446,30113,833
8600000US02451,ZCTA5 02451,18646,746
8600000US02452,ZCTA5 02452,15470,682
8600000US02453,ZCTA5 02453,28696,872
8600000US02457,ZCTA5 02457,1680,213
8600000US02458,ZCTA5 02458,12465,674
