"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US75686","ZCTA5 75686","13047","428",
"8600000US75691","ZCTA5 75691","3006","444",
"8600000US75692","ZCTA5 75692","5078","744",
"8600000US75693","ZCTA5 75693","6973","267",
"8600000US75701","ZCTA5 75701","34876","1180",
"8600000US75702","ZCTA5 75702","28270","1483",
"8600000US75703","ZCTA5 75703","40868","1528",
"8600000US75704","ZCTA5 75704","9974","957",
"8600000US75705","ZCTA5 75705","2591","697",
"8600000US75706","ZCTA5 75706","9793","1469",
"8600000US75707","ZCTA5 75707","14565","1344",
"8600000US75708","ZCTA5 75708","7709","1209",
"8600000US75709","ZCTA5 75709","5046","693",
"8600000US75750","ZCTA5 75750","3695","693",
"8600000US75751","ZCTA5 75751","16715","733",
"8600000US75752","ZCTA5 75752","7445","840",
"8600000US75754","ZCTA5 75754","6506","810",
"8600000US75755","ZCTA5 75755","5150","691",
"8600000US75756","ZCTA5 75756","4873","577",
"8600000US75757","ZCTA5 75757","12166","1127",
"8600000US75758","ZCTA5 75758","8100","754",
"8600000US75759","ZCTA5 75759","39","32",
"8600000US75760","ZCTA5 75760","2429","457",
"8600000US75762","ZCTA5 75762","12986","1271",
"8600000US75763","ZCTA5 75763","6286","585",
"8600000US75764","ZCTA5 75764","234","90",
"8600000US75765","ZCTA5 75765","7751","616",
"8600000US75766","ZCTA5 75766","26671","752",
"8600000US75770","ZCTA5 75770","3364","524",
"8600000US75771","ZCTA5 75771","21078","1331",
"8600000US75773","ZCTA5 75773","12927","834",
"8600000US75778","ZCTA5 75778","3167","622",
"8600000US75779","ZCTA5 75779","160","126",
"8600000US75780","ZCTA5 75780","226","129",
"8600000US75783","ZCTA5 75783","7559","668",
"8600000US75784","ZCTA5 75784","829","306",
"8600000US75785","ZCTA5 75785","10909","622",
"8600000US75788","ZCTA5 75788","102","126",
"8600000US75789","ZCTA5 75789","7501","767",
"8600000US75790","ZCTA5 75790","4600","551",
"8600000US75791","ZCTA5 75791","13268","778",
"8600000US75792","ZCTA5 75792","2562","576",
"8600000US75801","ZCTA5 75801","15615","1057",
"8600000US75803","ZCTA5 75803","22903","1087",
"8600000US75831","ZCTA5 75831","5746","813",
"8600000US75832","ZCTA5 75832","124","196",
"8600000US75833","ZCTA5 75833","3462","600",
"8600000US75835","ZCTA5 75835","10924","487",
"8600000US75838","ZCTA5 75838","638","214",
"8600000US75839","ZCTA5 75839","5192","666",
"8600000US75840","ZCTA5 75840","6950","578",
"8600000US75844","ZCTA5 75844","6340","532",
"8600000US75845","ZCTA5 75845","3208","374",
"8600000US75846","ZCTA5 75846","2875","582",
"8600000US75847","ZCTA5 75847","1783","326",
"8600000US75848","ZCTA5 75848","108","63",
"8600000US75849","ZCTA5 75849","85","51",
"8600000US75850","ZCTA5 75850","959","430",
"8600000US75851","ZCTA5 75851","4834","408",
"8600000US75852","ZCTA5 75852","4889","289",
"8600000US75853","ZCTA5 75853","809","234",
"8600000US75855","ZCTA5 75855","2463","436",
"8600000US75856","ZCTA5 75856","121","124",
"8600000US75858","ZCTA5 75858","14","19",
"8600000US75859","ZCTA5 75859","1657","342",
"8600000US75860","ZCTA5 75860","6415","363",
"8600000US75861","ZCTA5 75861","8780","602",
"8600000US75862","ZCTA5 75862","9863","491",
"8600000US75901","ZCTA5 75901","31647","1172",
"8600000US75904","ZCTA5 75904","33820","1098",
"8600000US75925","ZCTA5 75925","4099","426",
"8600000US75926","ZCTA5 75926","1121","244",
"8600000US75928","ZCTA5 75928","726","320",
"8600000US75929","ZCTA5 75929","1860","326",
"8600000US75930","ZCTA5 75930","1909","364",
"8600000US75931","ZCTA5 75931","2189","462",
"8600000US75932","ZCTA5 75932","1833","387",
"8600000US75933","ZCTA5 75933","1139","380",
"8600000US75934","ZCTA5 75934","138","100",
"8600000US75935","ZCTA5 75935","13955","595",
"8600000US75936","ZCTA5 75936","842","230",
"8600000US75937","ZCTA5 75937","987","234",
